park_name,posts_count,facilities_count
10th Ave & Clement Mini Park,1,1
Alioto Mini Park,4,1
Fallen Bridge Mini Park,1,0
Ina Coolbrith Park,491,0
Noe Valley Town Square,2,0
Patricia's Green in Hayes Valley,14,1
Saturn Street Steps,16,0
Sunnyside Conservatory,5,0
Total,534,3
