Map_Label,Longitude,Latitude,Acres,TMA_PropertyID,SquareFeet,PerimeterLength,PropertyType,Address,City,State,Zipcode,Complex,PSA,SupDist,Ownership,Land_ID,State_Senate,MONS_Neighborhood,Police_District,US_Congress,Realtor_Neighborhood,State_Assembly,Planning_Neighborhood,shape,created_date,last_edited_date
Maritime Plaza,-122.39982015,37.7955308,2.01276398,142,87675.99885853,3208.81540812,Civic Plaza or Square,285 Washington Street,San Francisco,CA,94111,North Beach Complex,PSA1,3,Real Estate,304,11th Senatorial District,Financial District,Central,12th Congressional District,Financial District/Barbary Coast,17th Assembly District,Financial District,"MULTIPOLYGON (((-122.3993869 37.7952566, -122.399406 37.7953506, -122.3993821 37.7953536, -122.3994772 37.795822, -122.3995011 37.7958189, -122.3995202 37.7959129, -122.4003602 37.7958058, -122.4002385 37.7951481, -122.3993869 37.7952566), (-122.3999649 37.7952386, -122.3999918 37.795372, -122.4001368 37.7953537, -122.4001913 37.7956243, -122.4000464 37.7956428, -122.4000754 37.7957866, -122.3998593 37.7958141, -122.3997488 37.7952661, -122.3999649 37.7952386)), ((-122.3990931 37.7959674, -122.399074 37.7958733, -122.3990979 37.7958703, -122.3990028 37.795402, -122.3989788 37.795405, -122.3989597 37.795311, -122.3981285 37.7954169, -122.3982619 37.7960733, -122.3990931 37.7959674), (-122.3985963 37.795413, -122.3987076 37.7959608, -122.3984915 37.7959884, -122.3984602 37.7958343, -122.3983152 37.7958528, -122.3982666 37.7956133, -122.3984115 37.7955948, -122.3983802 37.7954405, -122.3985963 37.795413)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Lake Merced Park,-122.49239745,37.7219234,608.4860977,10,26505654.421219,33386.36262344,Regional Park,Lake Merced Boulevard,San Francisco,CA,94132,Lake Merced Complex,PSA4,7,PUC/Clean Water Program,806,11th Senatorial District,Lakeshore,Taraval,14th Congressional District,Lake Shore,19th Assembly District,Lakeshore,"MULTIPOLYGON (((-122.4961066 37.7289285, -122.4961576 37.7289291, -122.4962087 37.7289311, -122.4962596 37.7289345, -122.4963103 37.7289393, -122.4963608 37.7289455, -122.496411 37.7289531, -122.4964608 37.7289621, -122.4965102 37.7289724, -122.4965591 37.728984, -122.4966075 37.728997, -122.4966553 37.7290114, -122.4967025 37.729027, -122.4967489 37.7290439, -122.4967946 37.7290621, -122.4968395 37.7290815, -122.4968834 37.7291021, -122.4969265 37.729124, -122.4969686 37.729147, -122.4970096 37.7291711, -122.4970496 37.7291964, -122.4970885 37.7292227, -122.4971262 37.7292501, -122.4971627 37.7292785, -122.4971979 37.7293079, -122.4972318 37.7293383, -122.4972644 37.7293695, -122.4972956 37.7294016, -122.4973253 37.7294346, -122.4973537 37.7294684, -122.4973805 37.7295029, -122.4974058 37.7295381, -122.4981647 37.7310983, -122.4981732 37.7311139, -122.4981824 37.7311292, -122.4981922 37.7311443, -122.4982027 37.731159, -122.4982138 37.7311735, -122.4982255 37.7311876, -122.4982379 37.7312015, -122.4982509 37.7312149, -122.4982644 37.731228, -122.4982785 37.7312407, -122.4982932 37.731253, -122.4983084 37.7312649, -122.4983241 37.7312764, -122.4983403 37.7312874, -122.498357 37.731298, -122.4983742 37.7313081, -122.4983918 37.7313177, -122.4984097 37.7313268, -122.4984281 37.7313354, -122.4984469 37.7313435, -122.498466 37.7313511, -122.4984854 37.7313582, -122.4985051 37.7313647, -122.4985251 37.7313706, -122.4985453 37.731376, -122.4985658 37.7313808, -122.4985864 37.7313851, -122.4986073 37.7313887, -122.4986283 37.7313918, -122.4986494 37.7313943, -122.4986706 37.7313963, -122.4986919 37.7313976, -122.4987132 37.7313983, -122.4987345 37.7313985, -122.4987559 37.7313981, -122.4987772 37.731397, -122.4987984 37.7313954, -122.4988196 37.7313932, -122.4988406 37.7313904, -122.4988615 37.731387, -122.4988823 37.731383, -122.4989028 37.7313785, -122.4989232 37.7313734, -122.4989433 37.7313677, -122.4989632 37.7313615, -122.4989827 37.7313547, -122.499002 37.7313474, -122.4990209 37.7313396, -122.4990395 37.7313312, -122.4990577 37.7313223, -122.4990755 37.731313, -122.4990928 37.7313031, -122.4991097 37.7312928, -122.4991262 37.731282, -122.4991422 37.7312707, -122.4991576 37.7312591, -122.4991726 37.7312469, -122.499187 37.7312344, -122.4992008 37.7312215, -122.5004578 37.7300044, -122.5006348 37.7298198, -122.5008046 37.729631, -122.500967 37.7294381, -122.501122 37.7292414, -122.5012693 37.729041, -122.5013868 37.7288688, -122.5014974 37.7286938, -122.5016009 37.7285161, -122.5016973 37.7283359, -122.5017865 37.7281534, -122.5018683 37.7279686, -122.5023188 37.726865, -122.502319 37.7267796, -122.502378 37.7266384, -122.5024113 37.7265409, -122.5024181 37.7265204, -122.5024224 37.7265174, -122.5024273 37.7265137, -122.502432 37.7265099, -122.5024365 37.726506, -122.5024409 37.7265019, -122.5024451 37.7264978, -122.5024491 37.7264935, -122.5024529 37.7264891, -122.5024566 37.7264847, -122.5024601 37.7264801, -122.5024633 37.7264755, -122.5024664 37.7264707, -122.5024693 37.7264659, -122.5024719 37.726461, -122.5024744 37.726456, -122.5024766 37.726451, -122.502762 37.7257776, -122.5028223 37.7255684, -122.5028745 37.7253579, -122.5028945 37.7252292, -122.5029087 37.7251002, -122.5029173 37.7249708, -122.50292 37.7248412, -122.5029171 37.7247116, -122.5029084 37.7245822, -122.5028941 37.7244532, -122.502874 37.7243246, -122.5028482 37.7241966, -122.5028168 37.7240695, -122.5027798 37.7239432, -122.5027372 37.7238182, -122.5026607 37.7236544, -122.502577 37.723493, -122.5024863 37.7233339, -122.5023886 37.7231774, -122.5022842 37.7230237, -122.502173 37.722873, -122.5020554 37.7227255, -122.5019313 37.7225814, -122.501801 37.7224407, -122.5016645 37.7223038, -122.500989 37.7215689, -122.5008952 37.7214706, -122.5008057 37.7213698, -122.5007205 37.7212667, -122.5006396 37.7211613, -122.5005632 37.7210539, -122.5004915 37.7209445, -122.5004243 37.7208332, -122.5003619 37.7207203, -122.5002509 37.7204124, -122.5001536 37.7201016, -122.5000702 37.7197883, -122.5000571 37.7196873, -122.5000397 37.7195868, -122.500018 37.7194867, -122.4999919 37.7193874, -122.4999616 37.7192888, -122.499927 37.7191911, -122.4998883 37.7190944, -122.4998453 37.7189988, -122.4997983 37.7189044, -122.4997472 37.7188114, -122.4996922 37.7187198, -122.4996332 37.7186298, -122.4995703 37.7185414, -122.4994686 37.7183826, -122.4993608 37.7182264, -122.4992471 37.7180729, -122.4991274 37.7179222, -122.499002 37.7177745, -122.4989276 37.717699, -122.49885 37.7176256, -122.4987695 37.7175542, -122.4986859 37.717485, -122.4985995 37.7174181, -122.4985103 37.7173536, -122.4984185 37.7172914, -122.4983241 37.7172317, -122.4982272 37.7171745, -122.498128 37.7171199, -122.4980266 37.717068, -122.497923 37.7170188, -122.4978174 37.7169724, -122.49771 37.7169288, -122.4976007 37.7168881, -122.4974898 37.7168504, -122.4973774 37.7168155, -122.4940312 37.715817, -122.4938404 37.7157459, -122.4936525 37.7156699, -122.4934679 37.7155892, -122.4932866 37.7155038, -122.4931089 37.7154137, -122.4929773 37.7153333, -122.4928491 37.7152495, -122.4927244 37.7151624, -122.4926033 37.7150722, -122.4924859 37.7149789, -122.4923725 37.7148826, -122.492263 37.7147834, -122.4921577 37.7146814, -122.4920566 37.7145768, -122.4919598 37.7144696, -122.4918477 37.7142941, -122.4917285 37.7141215, -122.4916026 37.713952, -122.4914699 37.7137857, -122.4913306 37.7136229, -122.4911849 37.7134637, -122.4910685 37.7133644, -122.4909482 37.7132681, -122.4908243 37.7131747, -122.4906969 37.7130844, -122.490566 37.7129972, -122.4904319 37.7129132, -122.4895039 37.7123111, -122.489437 37.7122699, -122.4893719 37.712227, -122.4893085 37.7121824, -122.4892471 37.7121362, -122.4891876 37.7120884, -122.4891301 37.712039, -122.4890747 37.7119882, -122.4890215 37.7119359, -122.4889705 37.7118823, -122.4889217 37.7118274, -122.4888752 37.7117712, -122.4888311 37.7117139, -122.4887893 37.7116554, -122.4886583 37.7114065, -122.488536 37.7111548, -122.4884224 37.7109006, -122.487996 37.7099864, -122.4877182 37.7094595, -122.4876846 37.7094092, -122.4876488 37.7093599, -122.4876109 37.7093116, -122.4875709 37.7092643, -122.487529 37.7092181, -122.487485 37.7091731, -122.4874392 37.7091293, -122.4873915 37.7090868, -122.487342 37.7090456, -122.4872908 37.7090057, -122.4872379 37.7089673, -122.4871834 37.7089303, -122.4871273 37.7088949, -122.4870698 37.7088609, -122.4869592 37.7087952, -122.4868461 37.7087324, -122.4867303 37.7086726, -122.4866121 37.7086159, -122.4864916 37.7085623, -122.4863689 37.708512, -122.4863427 37.708505, -122.4863162 37.7084986, -122.4862895 37.708493, -122.4862625 37.7084881, -122.4862354 37.708484, -122.486208 37.7084805, -122.4861806 37.7084779, -122.486153 37.7084759, -122.4861254 37.7084747, -122.4860978 37.7084743, -122.4860701 37.7084746, -122.4860425 37.7084757, -122.4860149 37.7084775, -122.4859875 37.70848, -122.4859601 37.7084833, -122.4859329 37.7084873, -122.4859059 37.7084921, -122.4858791 37.7084976, -122.4858526 37.7085038, -122.4858264 37.7085107, -122.4858004 37.7085183, -122.4857748 37.7085266, -122.4857496 37.7085356, -122.4857248 37.7085453, -122.4857004 37.7085557, -122.4856765 37.7085667, -122.485653 37.7085783, -122.4856301 37.7085906, -122.4856077 37.7086035, -122.4855832 37.7086195, -122.4855594 37.7086361, -122.4855364 37.7086533, -122.4855141 37.7086712, -122.4854925 37.7086896, -122.4854718 37.7087087, -122.485452 37.7087283, -122.485433 37.7087484, -122.4854148 37.708769, -122.4853976 37.7087901, -122.4853813 37.7088117, -122.4853659 37.7088337, -122.4853515 37.7088561, -122.485339 37.7088765, -122.4853274 37.7088972, -122.4853167 37.7089182, -122.4853069 37.7089395, -122.485298 37.7089611, -122.4852901 37.7089829, -122.4852831 37.7090049, -122.4852771 37.7090271, -122.4852721 37.7090494, -122.485268 37.7090718, -122.4852649 37.7090944, -122.4852628 37.709117, -122.4852616 37.7091397, -122.4852615 37.7091624, -122.4852623 37.709185, -122.4852641 37.7092077, -122.4852669 37.7092303, -122.4852707 37.7092527, -122.4854763 37.7101277, -122.4854961 37.7102168, -122.485512 37.7103064, -122.4855241 37.7103964, -122.4855324 37.7104866, -122.4855368 37.710577, -122.4855374 37.7106674, -122.4855341 37.7107578, -122.485527 37.7108481, -122.4854779 37.711715, -122.4854258 37.7131758, -122.4854274 37.7133554, -122.4854329 37.7133811, -122.4853866 37.7143454, -122.4853517 37.7150727, -122.4853271 37.7155858, -122.4852822 37.7159209, -122.4852194 37.716748, -122.4851976 37.7178141, -122.4851947 37.7212356, -122.4851916 37.723357, -122.4852035 37.723801, -122.4852022 37.7238599, -122.4851985 37.7239188, -122.4851923 37.7239776, -122.4851837 37.7240361, -122.4851727 37.7240944, -122.4851592 37.7241524, -122.4851433 37.72421, -122.4851251 37.7242671, -122.4851044 37.7243237, -122.4841047 37.7266958, -122.4840935 37.7267343, -122.4840839 37.7267731, -122.4840758 37.7268121, -122.4840693 37.7268513, -122.4840644 37.7268906, -122.484061 37.72693, -122.4840592 37.7269695, -122.484059 37.7270091, -122.4840603 37.7270486, -122.4840642 37.7270866, -122.4840698 37.7271246, -122.4840771 37.7271623, -122.4840859 37.7271998, -122.4840965 37.7272371, -122.4841086 37.727274, -122.4841224 37.7273106, -122.4841378 37.7273468, -122.4841548 37.7273825, -122.4841733 37.7274178, -122.4841933 37.7274525, -122.4842149 37.7274866, -122.4842379 37.7275201, -122.4842624 37.727553, -122.4842884 37.7275851, -122.4854848 37.7290574, -122.4855148 37.7290833, -122.4855459 37.7291083, -122.4855781 37.7291325, -122.4856114 37.7291557, -122.4856456 37.7291781, -122.4856808 37.7291994, -122.4857169 37.7292197, -122.485754 37.7292391, -122.4857918 37.7292574, -122.4858304 37.7292746, -122.4858698 37.7292908, -122.4859098 37.7293058, -122.4859505 37.7293197, -122.4859917 37.7293325, -122.4860335 37.7293441, -122.4860758 37.7293546, -122.486076 37.7293546, -122.4860959 37.7293619, -122.486118 37.7293695, -122.4861403 37.7293769, -122.4861628 37.7293839, -122.4861854 37.7293907, -122.4862081 37.7293971, -122.486231 37.7294032, -122.4867372 37.7295384, -122.4868631 37.7295741, -122.4874564 37.7297551, -122.4881334 37.7299823, -122.4888907 37.7302203, -122.4889201 37.7302296, -122.48895 37.7302381, -122.4889802 37.7302458, -122.4890107 37.7302527, -122.4890415 37.7302586, -122.4890726 37.7302638, -122.4891039 37.730268, -122.4891353 37.7302714, -122.4891681 37.7302745, -122.4892011 37.7302767, -122.4892341 37.7302781, -122.4892672 37.7302786, -122.4893002 37.7302783, -122.4893333 37.7302771, -122.4893662 37.7302751, -122.4893991 37.7302722, -122.4894319 37.7302685, -122.4894644 37.730264, -122.4894984 37.7302591, -122.4895321 37.7302533, -122.4895656 37.7302466, -122.4895988 37.730239, -122.4896316 37.7302305, -122.489664 37.7302211, -122.4896961 37.7302108, -122.4897276 37.7301997, -122.4897587 37.7301877, -122.4897892 37.7301749, -122.4898192 37.7301613, -122.4898485 37.7301469, -122.4898773 37.7301317, -122.4899054 37.7301157, -122.4899327 37.730099, -122.4899593 37.7300815, -122.4899852 37.7300634, -122.4900103 37.7300445, -122.4900346 37.730025, -122.490058 37.7300049, -122.4900805 37.7299841, -122.4902313 37.7298351, -122.4903758 37.7296822, -122.4905095 37.7295299, -122.4906036 37.7294249, -122.4907012 37.7293221, -122.4908025 37.7292214, -122.4909071 37.729123, -122.4909384 37.7290965, -122.4909709 37.729071, -122.4910045 37.7290464, -122.4910391 37.7290227, -122.4910748 37.729, -122.4911115 37.7289783, -122.491149 37.7289576, -122.4911875 37.728938, -122.4912268 37.7289195, -122.4912725 37.7289, -122.4913189 37.7288818, -122.4913662 37.7288648, -122.4914141 37.7288491, -122.4914626 37.7288347, -122.4915118 37.7288216, -122.4915615 37.7288099, -122.4916116 37.7287995, -122.4916622 37.7287905, -122.4917132 37.7287828, -122.4917644 37.7287766, -122.4917796 37.7287748, -122.4917948 37.7287726, -122.4918098 37.72877, -122.4918248 37.7287671, -122.4918396 37.7287638, -122.4918543 37.7287601, -122.4918688 37.728756, -122.4918831 37.7287515, -122.4918973 37.7287467, -122.4919112 37.7287415, -122.491925 37.728736, -122.4919384 37.7287302, -122.4919458 37.7287298, -122.491964 37.728729, -122.4919821 37.7287285, -122.4920003 37.7287283, -122.4920184 37.7287283, -122.4920366 37.7287286, -122.4920547 37.7287291, -122.4920729 37.7287299, -122.492091 37.7287309, -122.492109 37.7287322, -122.4921271 37.7287337, -122.4921451 37.7287355, -122.4921631 37.7287375, -122.492181 37.7287398, -122.4921989 37.7287423, -122.4922167 37.7287451, -122.4922345 37.7287481, -122.4922521 37.7287514, -122.4922698 37.7287549, -122.4922873 37.7287586, -122.4923047 37.7287626, -122.4923221 37.7287669, -122.4923393 37.7287713, -122.4923565 37.728776, -122.4923736 37.728781, -122.4923952 37.7287877, -122.4925228 37.7288419, -122.4926493 37.7288979, -122.4927745 37.7289557, -122.4928984 37.7290151, -122.493021 37.7290763, -122.4931422 37.7291392, -122.4932874 37.7292177, -122.4933006 37.7292264, -122.4933218 37.7292396, -122.493336 37.7292461, -122.4933504 37.7292525, -122.4933649 37.7292586, -122.4933795 37.7292646, -122.4933943 37.7292703, -122.4934092 37.7292759, -122.4934242 37.7292812, -122.4934393 37.7292863, -122.4934545 37.7292912, -122.4934699 37.7292959, -122.4934853 37.7293004, -122.4935009 37.7293047, -122.4935165 37.7293087, -122.4935322 37.7293126, -122.493548 37.7293162, -122.4935639 37.7293196, -122.4935798 37.7293228, -122.4935959 37.7293257, -122.4936119 37.7293285, -122.4936281 37.729331, -122.4936443 37.7293332, -122.4936605 37.7293353, -122.4936768 37.7293371, -122.4936931 37.7293388, -122.4937095 37.7293401, -122.4937258 37.7293413, -122.4937422 37.7293422, -122.4937586 37.7293429, -122.4937751 37.7293434, -122.4937915 37.7293437, -122.493808 37.7293437, -122.4938244 37.7293435, -122.4938408 37.729343, -122.4938573 37.7293424, -122.4938737 37.7293415, -122.4938901 37.7293404, -122.4939064 37.729339, -122.4939227 37.7293374, -122.4939381 37.7293358, -122.4939519 37.7293393, -122.4939657 37.7293425, -122.4939797 37.7293453, -122.4939938 37.7293477, -122.494008 37.7293497, -122.4940223 37.7293514, -122.4940367 37.7293526, -122.494051 37.7293535, -122.4940655 37.7293539, -122.4940799 37.729354, -122.4940943 37.7293537, -122.4941087 37.729353, -122.4941231 37.7293519, -122.4941374 37.7293504, -122.4941516 37.7293485, -122.4956543 37.7289857, -122.4957032 37.7289739, -122.4957525 37.7289634, -122.4958023 37.7289542, -122.4958524 37.7289465, -122.4959029 37.7289401, -122.4959536 37.7289351, -122.4960045 37.7289315, -122.4960555 37.7289293, -122.4961066 37.7289285), (-122.4993759 37.718304, -122.4994362 37.7183927, -122.4995399 37.7185544, -122.499572 37.7185987, -122.4996032 37.7186435, -122.4996334 37.7186886, -122.4996626 37.7187342, -122.4996907 37.7187802, -122.4997179 37.7188265, -122.4997441 37.7188732, -122.4997692 37.7189203, -122.4997932 37.7189677, -122.4998163 37.7190155, -122.4998383 37.7190635, -122.4998592 37.7191119, -122.499879 37.7191605, -122.4998978 37.7192094, -122.4999155 37.7192586, -122.4999322 37.719308, -122.4999477 37.7193576, -122.4999621 37.7194074, -122.4999755 37.7194574, -122.4999877 37.7195076, -122.4999989 37.719558, -122.5000089 37.7196085, -122.5000178 37.7196591, -122.5000256 37.7197099, -122.5000359 37.719792, -122.5000755 37.7199476, -122.5001184 37.7201027, -122.5001648 37.7202571, -122.5002145 37.7204108, -122.5002677 37.7205638, -122.500294 37.7206346, -122.4999267 37.7207161, -122.499632 37.7207301, -122.4994002 37.7205537, -122.4991073 37.720216, -122.4988379 37.719905, -122.4987461 37.7194467, -122.4988378 37.7190574, -122.4992266 37.7183205, -122.4993412 37.718255, -122.4993759 37.718304)), ((-122.4862455 37.7081624, -122.4862542 37.7081707, -122.4862631 37.7081789, -122.4862721 37.708187, -122.4862814 37.708195, -122.4862908 37.7082029, -122.4863004 37.7082106, -122.4863101 37.7082182, -122.48632 37.7082256, -122.4863301 37.7082329, -122.4863403 37.7082401, -122.4863507 37.7082471, -122.4863613 37.708254, -122.486372 37.7082607, -122.4863828 37.7082673, -122.4863938 37.7082737, -122.4864049 37.70828, -122.4864162 37.7082861, -122.4864276 37.7082921, -122.4864391 37.7082979, -122.4864522 37.7083042, -122.4865891 37.7083703, -122.4867246 37.7084382, -122.4868586 37.708508, -122.4869911 37.7085797, -122.4872121 37.7087055, -122.4872451 37.7087246, -122.4872777 37.7087442, -122.4873099 37.7087643, -122.4873416 37.7087848, -122.4873728 37.7088057, -122.4874036 37.7088271, -122.4874339 37.7088489, -122.4874637 37.7088711, -122.4874931 37.7088937, -122.4875219 37.7089167, -122.4875502 37.7089401, -122.487578 37.7089639, -122.4876053 37.7089881, -122.487632 37.7090126, -122.4876582 37.7090376, -122.4876839 37.7090629, -122.487709 37.7090885, -122.4877335 37.7091145, -122.4877574 37.7091408, -122.4877808 37.7091674, -122.4878036 37.7091944, -122.4878257 37.7092217, -122.4878473 37.7092492, -122.4878683 37.7092771, -122.4878886 37.7093053, -122.4879084 37.7093337, -122.487938 37.7093788, -122.4882212 37.7099158, -122.4886504 37.7108363, -122.48872 37.7109946, -122.488793 37.7111519, -122.4888694 37.7113081, -122.4890069 37.7115707, -122.4890268 37.7115988, -122.4890472 37.7116266, -122.4890683 37.711654, -122.48909 37.7116812, -122.4891123 37.7117081, -122.4891351 37.7117347, -122.4891585 37.7117609, -122.4891826 37.7117869, -122.4892071 37.7118124, -122.4892323 37.7118377, -122.489258 37.7118626, -122.4892842 37.7118871, -122.4893109 37.7119112, -122.4893382 37.711935, -122.489366 37.7119584, -122.4893944 37.7119814, -122.4894232 37.7120041, -122.4894525 37.7120263, -122.4894823 37.7120481, -122.4895126 37.7120695, -122.4895433 37.7120904, -122.4895745 37.712111, -122.4896061 37.7121311, -122.489653 37.7121595, -122.4905819 37.7127624, -122.490662 37.7128119, -122.490741 37.7128625, -122.4908188 37.7129142, -122.4908955 37.712967, -122.4909711 37.7130208, -122.4910454 37.7130756, -122.4911186 37.7131315, -122.4911904 37.7131884, -122.4912611 37.7132463, -122.4913756 37.7133446, -122.4918677 37.7139818, -122.4919084 37.7140409, -122.4919503 37.7140995, -122.4919936 37.7141575, -122.4920381 37.7142149, -122.4920838 37.7142717, -122.4921308 37.7143278, -122.4921791 37.7143833, -122.4922285 37.714438, -122.4922791 37.7144921, -122.4923309 37.7145455, -122.4923839 37.7145982, -122.492438 37.7146501, -122.4924933 37.7147012, -122.4925497 37.7147516, -122.4926072 37.7148012, -122.4926657 37.71485, -122.4927253 37.714898, -122.492786 37.7149451, -122.4928477 37.7149914, -122.4929104 37.7150368, -122.4929741 37.7150814, -122.4930387 37.715125, -122.4931043 37.7151678, -122.4931708 37.7152096, -122.493248 37.7152563, -122.4933399 37.7153035, -122.4934328 37.7153495, -122.4935267 37.7153941, -122.4936216 37.7154375, -122.4937175 37.7154795, -122.4938142 37.7155202, -122.4939118 37.7155595, -122.4940103 37.7155975, -122.4941241 37.7156394, -122.4944274 37.7157312, -122.4947308 37.7158229, -122.4944542 37.7153773, -122.4939834 37.7153849, -122.4938313 37.7153417, -122.4924107 37.7143769, -122.4923844 37.7143584, -122.4923714 37.7143487, -122.4923586 37.7143389, -122.492346 37.7143289, -122.4923337 37.7143187, -122.4923215 37.7143084, -122.4923096 37.7142979, -122.492298 37.7142872, -122.4922865 37.7142764, -122.4922753 37.7142654, -122.4922644 37.7142543, -122.4922537 37.714243, -122.4922432 37.7142316, -122.492233 37.71422, -122.4922231 37.7142083, -122.4922134 37.7141964, -122.4905307 37.7120977, -122.4905242 37.7120897, -122.4905182 37.7120827, -122.490512 37.7120757, -122.4905057 37.7120688, -122.4904992 37.712062, -122.4904926 37.7120553, -122.4904859 37.7120487, -122.490479 37.7120422, -122.4904719 37.7120358, -122.4904647 37.7120295, -122.4904574 37.7120233, -122.49045 37.7120172, -122.4904424 37.7120112, -122.4904347 37.7120053, -122.4904268 37.7119995, -122.4904188 37.7119938, -122.4904107 37.7119883, -122.4904025 37.7119828, -122.4903942 37.7119775, -122.4903857 37.7119722, -122.4903772 37.7119671, -122.4903685 37.7119621, -122.4903597 37.7119573, -122.4903508 37.7119525, -122.4903418 37.7119479, -122.4903327 37.7119434, -122.4903235 37.7119391, -122.4903143 37.7119348, -122.4903049 37.7119307, -122.4902954 37.7119267, -122.4902859 37.7119229, -122.4902762 37.7119192, -122.4902665 37.7119156, -122.4902567 37.7119122, -122.4902469 37.7119088, -122.4902369 37.7119057, -122.4902269 37.7119026, -122.4902168 37.7118998, -122.4902067 37.711897, -122.4901965 37.7118944, -122.4901863 37.7118919, -122.490176 37.7118896, -122.4901656 37.7118874, -122.4901552 37.7118854, -122.4901448 37.7118835, -122.4901343 37.7118817, -122.4901238 37.7118801, -122.4901132 37.7118786, -122.4901027 37.7118773, -122.4900921 37.7118762, -122.4895488 37.7118203, -122.4895332 37.7118185, -122.4895234 37.7118172, -122.4895136 37.7118157, -122.4895039 37.7118142, -122.4894941 37.7118125, -122.4894845 37.7118106, -122.4894748 37.7118086, -122.4894652 37.7118065, -122.4894557 37.7118043, -122.4894462 37.7118019, -122.4894367 37.7117994, -122.4894273 37.7117968, -122.489418 37.711794, -122.4894088 37.7117911, -122.4893996 37.7117881, -122.4893904 37.7117849, -122.4893814 37.7117817, -122.4893724 37.7117783, -122.4893635 37.7117747, -122.4893546 37.7117711, -122.4893459 37.7117673, -122.4893372 37.7117634, -122.4893286 37.7117594, -122.4893201 37.7117553, -122.4893117 37.7117511, -122.4893034 37.7117467, -122.4892952 37.7117422, -122.4892871 37.7117376, -122.4892791 37.7117329, -122.4892712 37.7117281, -122.4892634 37.7117232, -122.4892557 37.7117182, -122.4892482 37.711713, -122.4892407 37.7117078, -122.4892334 37.7117025, -122.4892261 37.711697, -122.489219 37.7116915, -122.489212 37.7116858, -122.4892052 37.7116801, -122.4891985 37.7116743, -122.4891918 37.7116684, -122.4891854 37.7116623, -122.489179 37.7116563, -122.4891728 37.7116501, -122.4891668 37.7116438, -122.4891608 37.7116374, -122.4891551 37.711631, -122.4891494 37.7116245, -122.4891439 37.7116179, -122.4891386 37.7116112, -122.4891334 37.7116045, -122.4891283 37.7115977, -122.4891234 37.7115908, -122.4891186 37.7115838, -122.489114 37.7115768, -122.4891096 37.7115698, -122.4891053 37.7115626, -122.4891012 37.7115554, -122.4890972 37.7115482, -122.4890934 37.7115409, -122.4890897 37.7115335, -122.4885491 37.7104167, -122.4885455 37.7104089, -122.4885424 37.710402, -122.4885394 37.710395, -122.4885367 37.7103879, -122.488534 37.7103808, -122.4885316 37.7103737, -122.4885293 37.7103666, -122.4885271 37.7103594, -122.4885251 37.7103522, -122.4885233 37.7103449, -122.4885216 37.7103377, -122.4884039 37.7098025, -122.4883924 37.7097544, -122.4883851 37.7097277, -122.4883772 37.7097011, -122.4883688 37.7096746, -122.4883598 37.7096483, -122.4883502 37.709622, -122.48834 37.7095959, -122.4883293 37.70957, -122.488318 37.7095442, -122.4883061 37.7095185, -122.4882937 37.7094931, -122.4882807 37.7094678, -122.4882671 37.7094427, -122.488253 37.7094177, -122.4882384 37.709393, -122.4882232 37.7093685, -122.4882075 37.7093442, -122.4881912 37.7093201, -122.4881745 37.7092963, -122.4881572 37.7092727, -122.4881393 37.7092493, -122.488121 37.7092262, -122.4881022 37.7092033, -122.4880828 37.7091807, -122.488063 37.7091584, -122.4880427 37.7091363, -122.4880219 37.7091146, -122.4880007 37.7090931, -122.4879789 37.7090719, -122.4879567 37.7090511, -122.4879341 37.7090305, -122.487911 37.7090103, -122.4878874 37.7089904, -122.4878634 37.7089708, -122.487839 37.7089515, -122.4878142 37.7089326, -122.487789 37.708914, -122.4877634 37.7088958, -122.4877373 37.708878, -122.4877109 37.7088605, -122.4876841 37.7088434, -122.4876569 37.7088266, -122.4876294 37.7088103, -122.4876015 37.7087943, -122.4875733 37.7087787, -122.4875447 37.7087635, -122.4875158 37.7087487, -122.4874865 37.7087343, -122.487457 37.7087203, -122.486237 37.7081539, -122.4862455 37.7081624)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Broadway Tunnel West Mini Park,-122.41742316,37.79643555,0.12450614,203,5423.48692693,317.6084571,Mini Park,1201 Broadway,San Francisco,CA,94109,North Beach Complex,PSA1,3,Public Works,621,11th Senatorial District,"Russian Hill,Nob Hill",Central,12th Congressional District,Nob Hill,17th Assembly District,Nob Hill,"MULTIPOLYGON (((-122.4172362 37.796398, -122.4172524 37.7964771, -122.4172568 37.796499, -122.4172636 37.7965321, -122.417479 37.7965043, -122.4175109 37.7965003, -122.4175597 37.7964942, -122.4175846 37.7964911, -122.4176341 37.796485, -122.4176098 37.7963482, -122.4172362 37.796398)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
