location_name,time,date,latitude,longitude
Bernal Heights Park,2022/5/30 14:41,2022/5/30,37.743294,-122.41542
Bernal Heights Park,2022/5/30 14:46,2022/5/30,37.743288,-122.41507
Bernal Heights Park,2022/5/15 7:01,2022/5/15,37.743052,-122.414445
Bernal Heights Park,2022/5/15 7:02,2022/5/15,37.743313,-122.41462
Bernal Heights Park,2019/4/6 11:30,2019/4/6,37.74345,-122.412392
Bernal Heights Park,2019/4/6 11:30,2019/4/6,37.743166,-122.41217
Bernal Heights Park,2019/4/6 11:30,2019/4/6,37.743166,-122.41217
Bernal Heights Park,2019/4/6 11:32,2019/4/6,37.743375,-122.413698
Bernal Heights Park,2019/4/26 16:57,2019/4/26,37.742363,-122.416978
Bernal Heights Park,2019/4/26 17:04,2019/4/26,37.743677,-122.415245
Bernal Heights Park,2019/4/26 17:05,2019/4/26,37.743586,-122.415551
Bernal Heights Park,2019/4/26 17:06,2019/4/26,37.743511,-122.416262
Bernal Heights Park,2019/4/26 17:06,2019/4/26,37.743441,-122.4162
Bernal Heights Park,2019/5/4 17:48,2019/5/4,37.742908,-122.414459
Bernal Heights Park,2019/5/4 17:48,2019/5/4,37.742916,-122.414445
Bernal Heights Park,2019/5/4 17:51,2019/5/4,37.742619,-122.413362
Bernal Heights Park,2019/5/4 17:51,2019/5/4,37.742619,-122.413362
Bernal Heights Park,2019/5/4 17:54,2019/5/4,37.743288,-122.412484
Bernal Heights Park,2019/5/4 17:54,2019/5/4,37.742927,-122.412287
Bernal Heights Park,2019/5/4 17:56,2019/5/4,37.74295,-122.41355
Bernal Heights Park,2019/5/4 17:56,2019/5/4,37.74295,-122.41355
Bernal Heights Park,2019/5/4 17:58,2019/5/4,37.743336,-122.41427
Bernal Heights Park,2019/5/4 17:58,2019/5/4,37.743313,-122.414384
Bernal Heights Park,2019/5/4 17:58,2019/5/4,37.743369,-122.414628
Bernal Heights Park,2019/5/4 18:01,2019/5/4,37.743072,-122.416131
Bernal Heights Park,2019/5/4 18:01,2019/5/4,37.743113,-122.416176
Bernal Heights Park,2019/5/4 18:01,2019/5/4,37.743088,-122.416223
Bernal Heights Park,2019/5/4 18:03,2019/5/4,37.742508,-122.416856
Bernal Heights Park,2019/5/4 18:03,2019/5/4,37.742508,-122.416856
Bernal Heights Park,2019/5/4 18:03,2019/5/4,37.742508,-122.416848
Bernal Heights Park,2019/5/4 18:03,2019/5/4,37.742508,-122.416848
Bernal Heights Park,2019/4/6 11:33,2019/4/6,37.7434,-122.413759
Bernal Heights Park,2019/4/6 11:33,2019/4/6,37.743513,-122.413873
Bernal Heights Park,2019/4/6 11:33,2019/4/6,37.74355,-122.413912
Bernal Heights Park,2019/4/6 11:33,2019/4/6,37.74355,-122.413912
Bernal Heights Park,2019/3/31 9:29,2019/3/31,37.742969,-122.414489
Bernal Heights Park,2019/3/31 9:29,2019/3/31,37.742819,-122.414873
Bernal Heights Park,2019/3/31 9:30,2019/3/31,37.742972,-122.414231
Bernal Heights Park,2019/3/31 9:32,2019/3/31,37.742705,-122.413095
Bernal Heights Park,2022/9/30 15:30,2022/9/30,37.743327,-122.414414
Bernal Heights Park,2019/3/31 9:36,2019/3/31,37.743016,-122.412462
Bernal Heights Park,2019/3/31 9:43,2019/3/31,37.743483,-122.415978
Bernal Heights Park,2019/3/31 9:43,2019/3/31,37.74345,-122.415939
Bernal Heights Park,2019/3/31 9:27,2019/3/31,37.742702,-122.414948
Bernal Heights Park,2019/3/31 9:28,2019/3/31,37.742694,-122.41497
Bernal Heights Park,2019/3/31 9:28,2019/3/31,37.742794,-122.414856
Bernal Heights Park,2019/3/31 9:28,2019/3/31,37.742813,-122.414856
Bernal Heights Park,2019/3/3 16:47,2019/3/3,37.742302,-122.417206
Bernal Heights Park,2019/3/3 16:47,2019/3/3,37.742302,-122.417206
Bernal Heights Park,2019/3/3 16:47,2019/3/3,37.742302,-122.417206
Bernal Heights Park,2019/3/14 16:49,2019/3/14,37.743563,-122.416223
Bernal Heights Park,2019/3/30 9:43,2019/3/30,37.742833,-122.413492
Bernal Heights Park,2019/3/30 9:45,2019/3/30,37.74318,-122.412256
Bernal Heights Park,2019/3/30 9:45,2019/3/30,37.743,-122.412078
Bernal Heights Park,2019/3/30 9:48,2019/3/30,37.742969,-122.411659
Bernal Heights Park,2019/3/30 9:48,2019/3/30,37.742969,-122.411659
Bernal Heights Park,2019/3/30 9:50,2019/3/30,37.742916,-122.412323
Bernal Heights Park,2019/3/30 9:50,2019/3/30,37.742905,-122.412353
Bernal Heights Park,2019/3/30 9:55,2019/3/30,37.743733,-122.415551
Bernal Heights Park,2019/3/30 9:59,2019/3/30,37.742383,-122.416795
Bernal Heights Park,2019/3/30 9:59,2019/3/30,37.742394,-122.416834
Bernal Heights Park,2019/3/3 16:47,2019/3/3,37.742302,-122.417206
Bernal Heights Park,2019/3/3 16:51,2019/3/3,37.742355,-122.415931
Bernal Heights Park,2019/2/19 17:25,2019/2/19,37.742925,-122.414642
Bernal Heights Park,2019/2/19 17:26,2019/2/19,37.74313,-122.414423
Bernal Heights Park,2019/2/19 17:26,2019/2/19,37.74313,-122.414423
Bernal Heights Park,2019/2/19 17:26,2019/2/19,37.743244,-122.414476
Bernal Heights Park,2019/2/19 17:26,2019/2/19,37.743244,-122.414476
Bernal Heights Park,2019/2/19 17:26,2019/2/19,37.743266,-122.414453
Bernal Heights Park,2019/2/19 17:26,2019/2/19,37.743266,-122.414453
Bernal Heights Park,2019/2/19 17:26,2019/2/19,37.743266,-122.414453
Bernal Heights Park,2019/2/19 17:26,2019/2/19,37.743272,-122.414453
Bernal Heights Park,2019/2/19 17:30,2019/2/19,37.743694,-122.415031
Bernal Heights Park,2019/2/19 17:29,2019/2/19,37.743655,-122.414878
Bernal Heights Park,2020/9/17 13:59,2020/9/17,37.743336,-122.414634
Bernal Heights Park,2020/9/17 13:59,2020/9/17,37.743388,-122.414659
Bernal Heights Park,2022/1/30 13:52,2022/1/30,37.743038,-122.4106
Bernal Heights Park,2021/12/16 9:20,2021/12/16,37.74251,-122.410913
Bernal Heights Park,2021/10/23 8:41,2021/10/23,37.742519,-122.411257
Bernal Heights Park,2021/4/20 16:57,2021/4/20,37.742985,-122.416019
