park_name,posts_count,facilities_count
Collis P. Huntington Park,103,0
Embarcadero Plaza,858,0
Japantown Peace Plaza,260,0
Joseph L. Alioto Performing Arts Piazza,424,2
Maritime Plaza,39,0
Palace of Fine Arts,610,0
St. Mary's Square,152,1
Telegraph Hill - Pioneer Park,521,0
Union Square,1324,3
Washington Square,495,1
Total,4786,7
