location_name,time,date,latitude,longitude
Maritime Plaza,2022-07-28 14:50:48,2022-07-28,37.795474,-122.399682
Maritime Plaza,2022-07-28 14:50:54,2022-07-28,37.795474,-122.399682
Maritime Plaza,2022-07-28 14:55:43,2022-07-28,37.795474,-122.399682
Maritime Plaza,2022-04-18 14:30:02,2022-04-18,37.795796,-122.399704
Maritime Plaza,2022-04-18 14:30:09,2022-04-18,37.795796,-122.399704
Maritime Plaza,2022-04-18 14:30:32,2022-04-18,37.795796,-122.399704
Maritime Plaza,2022-04-18 14:31:21,2022-04-18,37.795796,-122.399704
Maritime Plaza,2022-04-18 14:31:53,2022-04-18,37.795796,-122.399704
Maritime Plaza,2022-04-18 14:32:33,2022-04-18,37.795796,-122.399704
Maritime Plaza,2022-04-18 14:34:28,2022-04-18,37.795474,-122.399682
Maritime Plaza,2022-04-18 14:35:03,2022-04-18,37.795474,-122.399682
Maritime Plaza,2022-01-10 13:34:52,2022-01-10,37.795796,-122.399704
Maritime Plaza,2022-01-10 13:35:16,2022-01-10,37.795796,-122.399704
Maritime Plaza,2022-01-10 13:35:39,2022-01-10,37.795796,-122.399704
Maritime Plaza,2022-01-10 13:38:32,2022-01-10,37.795474,-122.399682
Maritime Plaza,2021-07-03 09:52:51,2021-07-03,37.795261,-122.400192
Maritime Plaza,2022-07-28 14:54:07,2022-07-28,37.795474,-122.399682
Maritime Plaza,2023-03-25 10:48:02,2023-03-25,37.79563,-122.398895
Maritime Plaza,2010-02-16 22:20:36,2010-02-16,37.795455,-122.398606
Maritime Plaza,2022-07-28 14:57:51,2022-07-28,37.795728,-122.398867
Maritime Plaza,2022-04-18 14:37:56,2022-04-18,37.795728,-122.398867
Maritime Plaza,2022-04-18 14:39:38,2022-04-18,37.795728,-122.398867
Maritime Plaza,2022-04-18 14:41:22,2022-04-18,37.795728,-122.398867
Maritime Plaza,2022-04-18 14:42:09,2022-04-18,37.795728,-122.398867
Maritime Plaza,2022-04-18 14:42:21,2022-04-18,37.795728,-122.398867
Maritime Plaza,2022-04-18 14:37:47,2022-04-18,37.795728,-122.398867
Maritime Plaza,2022-02-15 08:00:55,2022-02-15,37.795719,-122.398737
Maritime Plaza,2010-02-16 22:30:30,2010-02-16,37.795455,-122.398606
Maritime Plaza,2022-01-10 13:40:30,2022-01-10,37.795728,-122.398867
Maritime Plaza,2022-01-10 13:41:59,2022-01-10,37.795728,-122.398867
Maritime Plaza,2022-01-10 13:42:47,2022-01-10,37.795728,-122.398867
Maritime Plaza,2022-01-10 13:45:52,2022-01-10,37.795728,-122.398867
Maritime Plaza,2022-01-10 13:47:51,2022-01-10,37.795728,-122.398867
Maritime Plaza,2022-01-10 13:48:07,2022-01-10,37.795728,-122.398867
Maritime Plaza,2022-01-10 13:52:30,2022-01-10,37.795728,-122.398867
Maritime Plaza,2022-01-10 13:55:44,2022-01-10,37.795728,-122.398867
Maritime Plaza,2022-01-10 13:56:42,2022-01-10,37.795728,-122.398867
Maritime Plaza,2022-01-10 13:48:58,2022-01-10,37.795728,-122.398867
Maritime Plaza,2022-01-10 13:39:42,2022-01-10,37.795728,-122.398867
Union Square,2023-04-13 13:33:50,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:33:33,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:33:46,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:34:12,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:35:03,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:34:38,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:35:29,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:34:36,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:36:47,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:37:07,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:39:13,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:37:51,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:36:49,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:40:29,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:40:11,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:40:53,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:40:51,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:41:15,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:42:14,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:41:23,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:42:02,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:42:05,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:42:54,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:43:30,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:43:34,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:44:21,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:45:03,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:44:25,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:45:12,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:45:35,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:45:54,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:45:15,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:45:17,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:46:20,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:48:08,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:48:10,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:46:33,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:48:14,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:50:10,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:48:29,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:51:33,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:49:58,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:49:34,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:52:38,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:51:45,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:53:23,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:51:53,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:53:08,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:53:33,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:54:00,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:53:58,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:54:54,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:54:58,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:59:37,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 13:58:42,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:01:19,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:01:22,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:01:29,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:02:49,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:02:27,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:04:52,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:02:51,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:02:54,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:03:24,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:03:26,2023-04-13,37.78807,-122.407522
Union Square,2023-04-13 14:05:00,2023-04-13,37.78807,-122.407522
