park_name,posts_count,facilities_count
Golden Gate Park,11476,31
Lincoln Park,1531,4
Marina Green,863,4
John McLaren Park,405,27
Lake Merced Park,209,4
Twin Peaks,111,6
Mt. Davidson Park,91,1
Glen Canyon Park,66,9
Buena Vista Park,30,4
Bay View Park,20,0
Sigmund Stern Recreation Grove,19,5
Candlestick Point State Recreation Area,55,2
Fort Funston,52,2
Presidio of San Francisco,1808,30
Total,16736,129
